date,confirm,region
2022-03-18,663,Newfoundland and Labrador
2022-03-18,53,Northwest Territories
2022-03-18,0,Nova Scotia
2022-03-18,0,Nunavut
2022-03-18,2502,Ontario
2022-03-18,0,Prince Edward Island
2022-03-18,1170,Quebec
2022-03-18,0,Repatriated Travellers
2022-03-18,0,Saskatchewan
2022-03-18,12,Yukon
2022-03-19,565,Alberta
2022-03-19,200,British Columbia
2022-03-19,0,Manitoba
2022-03-19,2781,New Brunswick
2022-03-19,449,Newfoundland and Labrador
2022-03-19,0,Northwest Territories
2022-03-19,0,Nova Scotia
2022-03-19,0,Nunavut
2022-03-19,2078,Ontario
2022-03-19,0,Prince Edward Island
2022-03-19,0,Quebec
2022-03-19,0,Repatriated Travellers
2022-03-19,895,Saskatchewan
2022-03-19,0,Yukon
2022-03-20,489,Alberta
2022-03-20,170,British Columbia
2022-03-20,308,Manitoba
2022-03-20,0,New Brunswick
2022-03-20,449,Newfoundland and Labrador
2022-03-20,0,Northwest Territories
2022-03-20,0,Nova Scotia
2022-03-20,0,Nunavut
2022-03-20,1680,Ontario
2022-03-20,0,Prince Edward Island
2022-03-20,2317,Quebec
2022-03-20,0,Repatriated Travellers
2022-03-20,0,Saskatchewan
2022-03-20,0,Yukon
2022-03-21,345,Alberta
2022-03-21,136,British Columbia
2022-03-21,77,Manitoba
2022-03-21,0,New Brunswick
2022-03-21,324,Newfoundland and Labrador
2022-03-21,99,Northwest Territories
2022-03-21,0,Nova Scotia
2022-03-21,0,Nunavut
2022-03-21,1217,Ontario
2022-03-21,0,Prince Edward Island
2022-03-21,907,Quebec
2022-03-21,0,Repatriated Travellers
2022-03-21,0,Saskatchewan
2022-03-21,37,Yukon
2022-03-22,482,Alberta
2022-03-22,250,British Columbia
2022-03-22,104,Manitoba
2022-03-22,0,New Brunswick
2022-03-22,267,Newfoundland and Labrador
2022-03-22,63,Northwest Territories
2022-03-22,3453,Nova Scotia
2022-03-22,69,Nunavut
2022-03-22,1447,Ontario
2022-03-22,2038,Prince Edward Island
2022-03-22,1383,Quebec
2022-03-22,0,Repatriated Travellers
2022-03-22,0,Saskatchewan
2022-03-22,6,Yukon
2022-03-23,0,Alberta
2022-03-23,269,British Columbia
2022-03-23,137,Manitoba
2022-03-23,0,New Brunswick
2022-03-23,419,Newfoundland and Labrador
2022-03-23,101,Northwest Territories
2022-03-23,0,Nova Scotia
2022-03-23,0,Nunavut
2022-03-23,2149,Ontario
2022-03-23,0,Prince Edward Island
2022-03-23,2111,Quebec
2022-03-23,0,Repatriated Travellers
2022-03-23,0,Saskatchewan
2022-03-23,21,Yukon
2022-03-24,0,Alberta
2022-03-24,271,British Columbia
2022-03-24,205,Manitoba
2022-03-24,0,New Brunswick
2022-03-24,454,Newfoundland and Labrador
2022-03-24,129,Northwest Territories
2022-03-24,0,Nova Scotia
2022-03-24,0,Nunavut
2022-03-24,2561,Ontario
2022-03-24,0,Prince Edward Island
2022-03-24,2295,Quebec
2022-03-24,0,Repatriated Travellers
2022-03-24,0,Saskatchewan
2022-03-24,13,Yukon
2022-03-25,0,Alberta
2022-03-25,218,British Columbia
2022-03-25,148,Manitoba
2022-03-25,0,New Brunswick
2022-03-25,507,Newfoundland and Labrador
2022-03-25,98,Northwest Territories
2022-03-25,0,Nova Scotia
2022-03-25,0,Nunavut
2022-03-25,2761,Ontario
2022-03-25,0,Prince Edward Island
2022-03-25,2203,Quebec
2022-03-25,0,Repatriated Travellers
2022-03-25,0,Saskatchewan
2022-03-25,16,Yukon
2022-03-26,0,Alberta
2022-03-26,207,British Columbia
2022-03-26,307,Manitoba
2022-03-26,3096,New Brunswick
2022-03-26,370,Newfoundland and Labrador
2022-03-26,0,Northwest Territories
2022-03-26,0,Nova Scotia
2022-03-26,0,Nunavut
2022-03-26,2754,Ontario
2022-03-26,0,Prince Edward Island
2022-03-26,0,Quebec
2022-03-26,0,Repatriated Travellers
2022-03-26,1196,Saskatchewan
2022-03-26,0,Yukon
2022-03-27,0,Alberta
2022-03-27,197,British Columbia
2022-03-27,0,Manitoba
2022-03-27,0,New Brunswick
2022-03-27,539,Newfoundland and Labrador
2022-03-27,0,Northwest Territories
2022-03-27,0,Nova Scotia
2022-03-27,0,Nunavut
2022-03-27,2215,Ontario
2022-03-27,0,Prince Edward Island
2022-03-27,4100,Quebec
2022-03-27,0,Repatriated Travellers
2022-03-27,0,Saskatchewan
2022-03-27,0,Yukon
2022-03-28,0,Alberta
2022-03-28,152,British Columbia
2022-03-28,0,Manitoba
2022-03-28,0,New Brunswick
2022-03-28,248,Newfoundland and Labrador
2022-03-28,214,Northwest Territories
2022-03-28,0,Nova Scotia
2022-03-28,0,Nunavut
2022-03-28,1741,Ontario
2022-03-28,0,Prince Edward Island
2022-03-28,1614,Quebec
2022-03-28,0,Repatriated Travellers
2022-03-28,0,Saskatchewan
2022-03-28,49,Yukon
2022-03-29,4567,Alberta
2022-03-29,287,British Columbia
2022-03-29,0,Manitoba
2022-03-29,0,New Brunswick
2022-03-29,350,Newfoundland and Labrador
2022-03-29,132,Northwest Territories
2022-03-29,4188,Nova Scotia
2022-03-29,72,Nunavut
2022-03-29,1610,Ontario
2022-03-29,2454,Prince Edward Island
2022-03-29,2171,Quebec
2022-03-29,0,Repatriated Travellers
2022-03-29,0,Saskatchewan
2022-03-29,16,Yukon
2022-03-30,0,Alberta
2022-03-30,317,British Columbia
2022-03-30,0,Manitoba
2022-03-30,0,New Brunswick
2022-03-30,570,Newfoundland and Labrador
2022-03-30,100,Northwest Territories
2022-03-30,0,Nova Scotia
2022-03-30,0,Nunavut
2022-03-30,2814,Ontario
2022-03-30,0,Prince Edward Island
2022-03-30,3067,Quebec
2022-03-30,0,Repatriated Travellers
2022-03-30,0,Saskatchewan
2022-03-30,12,Yukon
2022-03-31,0,Alberta
2022-03-31,249,British Columbia
2022-03-31,0,Manitoba
2022-03-31,0,New Brunswick
2022-03-31,299,Newfoundland and Labrador
2022-03-31,98,Northwest Territories
2022-03-31,0,Nova Scotia
2022-03-31,0,Nunavut
2022-03-31,3139,Ontario
2022-03-31,0,Prince Edward Island
2022-03-31,3319,Quebec
2022-03-31,0,Repatriated Travellers
2022-03-31,0,Saskatchewan
2022-03-31,23,Yukon
